brand,likes
Абураме Торуне,0
Акамару,10
Акахоши,0
Амеюри Ринго,2
Анко Митараши,26
Ао,0
Аоба Ямаширо,2
Аода,4
Асума Сарутоби,11
Асура Ооцуцуки,12
Ацуи,0
Ашина Узумаки,1
Аяме,3
Баки,0
Баку,0
Бансай,0
Бару Учиха,0
Бекко,0
Бивако Сарутоби,0
Блю Би (Фукаи),0
Боруто Узумаки,9
Бунпуку,0
Буцума Сенджу,3
Бьякурен,0
Гаара,130
Гамабунта,5
Гамаден,0
Гамакен,0
Гамакичи,4
Гаматацу,2
Гамахиро,0
Гари,0
Гато,0
Гекко Хаяте,6
Генгецу Хозуки,4
Генма Ширануи,15
Геротора,1
Гурен,8
Гьюки (Хачиби),3
Дан Като,4
Данзо Шимура,6
Даруи,2
Дейдара,67
Джей,0
Джирайя,42
Джиробо,0
Джуго,6
Досу Кинута,1
Ёмэ,0
Забуза Момочи,23
brand,likes
Заку Абуми,0
Зецу,5
Ибики Морино,4
Изумо Камизуки,1
Изуна Учиха,41
Индра Ооцуцуки,13
Ино Яманака,40
Иноджин Яманака,3
Иноичи Яманака,1
Ироха Хьюга,0
Ирука Умино,26
Исобу (Санби),1
Итама Сенджу,3
Итачи Учиха,210
Йорои Акадо,0
Йошино Нара,1
Кабуто Якуши,20
Каваки,0
Каварама Сенджу,1
Кагами Учиха,6
Кагура Каратачи,2
Кагуя Ооцуцуки,24
Казума (Фуридо),0
Какаши Хатаке,218
Какузу,14
Канкуро,13
Канпу,0
Карин Узумаки,26
Каруи,2
Карура,2
Кацую,3
Кей,0
Кейри,0
Киба Инузука,14
Кидомару,0
Кизаши Харуно,0
Кимимаро,13
Кин Цучи,0
Кира Би,4
Кисаме Хошигаки,29
Ко Хьюга,1
Кокуоу (Гоби),2
Конан,25
Конохамару Сарутоби,7
Котецу Хагане,1
Кохару Утатане,0
Курама (Кьюби),62
Куренай Юхи,9
Куромару,1
Куроцучи,0
brand,likes
Кушина Узумаки,33
Кьёдайгумо,0
Лог,1
Мадара Учиха,81
Майто Гай,28
Манда,3
Мататаби (Ниби),6
Мацури,1
Мебуки Харуно,0
Мей Теруми,9
Менма Узумаки,11
Мизуки,0
Микото Учиха,12
Минато Намикадзе,51
Мираи Сарутоби,2
Мисуми Цуруги,0
Мито Узумаки,12
Морои,0
Моэги Казамацури,1
Муу,0
Наваки,2
Нагато Узумаки,25
Наруто Узумаки,222
Неджи Хьюга,80
Ноно Якуши,0
Обито Учиха (Тоби),53
Огама Сеннин,0
Омои,0
Ооноки,0
Орочимару,119
Отсутсуки Тонери,2
Паккун,3
Райдо Намиаши,3
Раса,0
Ретто,0
Рин Нохара,13
Рок Ли,22
Роуши,0
Сай,27
Сайкен (Рокуби),0
Сакон,0
Сакумо Хатаке,6
Сакура Харуно,88
Самуи,0
Сарада Учиха,4
Саске Учиха,142
Сасори,40
Сон Гоку (Йонби),0
Сора,3
Суйгецу Хозуки,13
brand,likes
Таджима Учиха,5
Таюя,14
Темари,33
Тен-Тен,14
Теучи,1
Тобирама Сенджу,32
Тон-Тон,0
Удон,0
Утаката,5
Фугаку Учиха,1
Фукасаку,0
Фуу,5
Хагоромо Ооцуцуки (Рикудо Сеннин),3
Хаку,26
Хакуджа Сеннин,2
